movieId,rating
1,194866
2,71444
3,40128
4,7886
5,37268
6,91651
7,43633
8,4446
9,11899
10,99488
11,66613
12,10073
13,4781
14,20668
15,7921
16,65879
17,82018
18,17553
19,54594
20,11765
21,86376
22,32955
23,13380
24,25506
25,79520
26,9997
27,5605
28,12797
29,33673
30,4655
31,30667
32,175334
33,195
34,117508
35,5228
36,82044
37,256
38,1577
39,89621
40,3231
41,18062
42,7537
43,8851
44,28388
45,30232
46,10496
47,175309
48,38435
49,846
50,203741
51,69
52,33003
53,554
54,2729
55,3043
56,131
57,8108
58,45946
59,680
60,19661
61,7580
62,72326
63,7157
64,5903
65,11645
66,5084
67,569
68,4255
69,15268
70,41663
71,3050
72,4308
73,11249
74,11604
75,1374
76,10170
77,758
78,3899
79,17316
80,2141
81,10485
82,10164
83,2170
84,540
85,9583
86,15006
87,2303
88,15115
89,10195
90,718
92,6573
93,4971
94,14213
95,68404
96,1781
97,7845
98,201
99,2254
100,13256
101,16273
102,4839
103,3704
104,61217
105,31999
106,461
107,20501
108,386
109,33
110,217363
111,100631
112,40575
113,3386
114,894
115,129
116,3736
117,4537
118,3420
119,732
120,423
121,3141
122,11149
123,9165
124,1116
125,13212
126,3181
127,133
128,262
129,601
130,121
131,638
132,5887
133,49
134,131
135,18902
136,362
137,742
138,450
139,126
140,16709
141,77339
142,125
143,30
144,15664
145,38928
146,1689
147,14754
148,1031
149,4030
150,184830
151,44648
152,2021
153,95141
154,11444
155,4348
156,5867
157,7229
158,37016
159,8084
160,38980
161,88468
162,24039
163,49341
164,15361
165,118417
166,1812
167,250
168,37275
169,7668
170,25181
171,5141
172,34720
173,38056
174,5216
175,16840
176,9108
177,6678
178,1694
179,3380
180,30133
181,5121
182,2155
183,2066
184,1018
185,76572
186,32451
187,3254
188,8349
189,1008
190,3423
191,4453
192,245
193,16675
194,22855
195,10016
196,38843
197,337
198,31242
199,5736
200,961
201,1105
202,1160
203,17087
204,24581
205,4764
206,3610
207,18253
208,79217
209,2112
210,1392
211,2082
212,1152
213,7560
214,3812
215,20530
216,27865
217,2768
218,13990
219,2294
220,660
222,21110
223,91689
224,29558
225,41636
226,122
227,14239
228,1276
229,8650
230,26158
231,94730
232,24819
233,12255
234,8760
235,60153
236,40497
237,20708
238,2643
239,9708
240,2435
241,1704
242,3644
243,1111
244,678
245,759
246,42175
247,29498
248,9564
249,18226
250,2663
251,1183
252,32465
253,96395
254,1820
255,2473
256,26982
257,13006
258,4526
259,6139
260,228400
261,37621
262,15923
263,1474
264,532
265,47029
266,56538
267,10915
268,2407
269,2086
270,4173
271,4186
272,29530
273,23274
274,3391
275,4261
276,16302
277,31289
278,3496
279,3463
280,19016
281,14447
282,38482
283,714
284,104
285,200
286,222
287,1067
288,76268
289,10680
290,16149
291,1493
292,89613
293,104521
294,2703
295,1312
296,280967
297,828
298,855
299,9792
300,75537
301,1654
302,5865
303,21114
304,2316
305,9279
306,29657
307,26658
308,20231
309,1669
310,678
311,215
312,3472
313,3547
314,15873
315,32398
316,106661
317,50913
318,281788
319,27172
320,1036
321,3468
322,11040
324,1729
325,2741
326,5440
327,20090
328,7652
329,87915
330,4313
331,1836
332,5756
333,36706
334,6256
335,1295
336,841
337,67158
338,13931
339,81257
340,4951
341,1437
342,41031
343,2471
344,114003
345,37634
346,3871
347,5261
348,29746
349,108239
350,54899
351,12118
352,4378
353,58058
354,3906
355,24186
356,266607
357,101132
358,7386
359,912
360,5743
361,16667
362,25917
363,2568
364,147350
365,5798
366,7769
367,109159
368,58194
369,3713
370,42148
371,14054
372,26049
373,13339
374,12039
375,831
376,37062
377,145184
378,7323
379,14898
380,150674
381,16766
382,16450
383,16056
384,2294
385,457
386,1006
387,1869
388,1958
389,701
390,2792
391,1348
392,911
393,3811
394,440
395,40
396,65
397,201
398,172
399,22
400,70
401,61
402,175
403,24
404,267
405,8707
406,203
407,5661
408,2111
409,1303
410,55706
411,313
412,16132
413,17083
414,2269
415,9071
416,4799
417,11607
418,1853
419,11323
420,41066
421,5783
422,4576
423,6930
424,2014
425,3069
426,10318
427,8657
428,18788
429,3500
430,586
431,33056
432,35066
433,3631
434,76250
435,36079
436,3230
437,4800
438,2858
439,136
440,69546
441,29611
442,55719
443,1965
444,3147
445,5464
446,14609
447,559
448,10730
449,2376
450,9968
451,1948
452,4286
453,2896
454,89793
455,22176
456,3576
457,197614
458,3332
459,3056
460,2222
461,3024
462,531
463,1148
464,9205
465,2362
466,39407
467,2507
468,24379
469,4186
470,990
471,41288
472,2112
473,3147
474,70305
475,35653
476,690
477,16092
478,672
479,3592
480,218840
481,17869
482,9320
483,2225
484,1971
485,37727
486,1613
487,1611
488,1813
489,8394
490,10770
491,18632
492,11381
493,13366
494,40976
495,2253
496,1358
497,55352
498,1059
499,1116
500,116460
501,7268
502,8318
503,434
504,3376
505,3281
506,4682
507,11349
508,74350
509,62980
510,2411
511,5240
512,3616
513,1679
514,16195
515,41631
516,10595
517,10811
518,3292
519,10571
520,43897
521,7268
522,4492
523,3380
524,26996
525,581
526,413
527,215741
528,2545
529,42173
530,99
531,26398
532,18245
533,11336
534,18957
535,21065
536,2433
537,10847
538,18927
539,101348
540,13429
541,126185
542,9999
543,39962
544,6347
545,129
546,11554
547,2275
548,8284
549,5642
550,10395
551,76536
552,41493
553,56043
554,1584
555,58496
556,4846
558,3945
559,136
560,119
561,773
562,23458
563,1172
564,769
565,2188
566,419
567,1202
568,1391
569,4924
570,764
571,734
572,95
573,704
574,4598
575,7643
576,62
577,1743
579,113
580,1750
581,7513
582,442
583,881
584,82
585,25857
586,87500
587,101552
588,154015
589,205421
590,164828
591,60
592,156692
593,264403
594,64144
595,129072
596,44733
597,115952
598,482
599,12711
600,915
601,384
602,1363
603,1784
604,11
605,11191
606,3895
607,46
608,177950
609,7295
610,26514
611,4440
612,4371
613,8817
614,510
615,2456
616,26645
617,1887
618,995
619,1854
620,119
621,1190
623,108
624,125
625,81
626,1816
627,6503
628,41979
629,74
630,743
631,5981
632,1340
633,1133
634,775
635,4010
636,101
637,16437
638,1908
639,3352
640,9315
641,197
642,21
643,51
644,30
645,1095
647,28015
648,125808
649,512
650,4741
651,112
652,230
653,45653
654,47
655,40
656,3465
657,90
658,147
659,1601
660,363
661,33905
662,9068
663,11183
664,982
665,4551
666,569
667,2693
668,3150
670,3155
671,23389
672,67
673,26909
674,9759
675,60
676,71
678,10958
679,326
680,3942
681,1196
682,204
683,93
684,53
685,1894
687,299
688,7703
690,272
691,3581
692,2157
693,80
694,8289
695,2700
696,371
697,3181
698,412
699,37
700,4057
701,307
702,1393
703,1026
704,5048
705,1508
706,787
707,14211
708,51971
709,8532
710,3424
711,5626
712,635
713,467
714,12913
715,2187
716,889
717,290
718,3100
719,22756
720,33578
721,54
722,1276
723,101
724,26209
725,4385
726,1684
727,79
728,13529
729,350
730,214
731,2499
732,656
733,115364
734,152
735,3934
736,103705
737,9591
738,75
739,24
741,27896
742,5085
743,16735
744,110
745,50312
746,1178
747,2528
748,16739
749,114
750,98622
751,549
752,116
753,1713
754,1054
755,513
756,359
757,789
758,74
759,1451
760,3278
761,10475
762,22955
763,166
764,1950
765,14663
766,6219
767,1077
768,102
769,489
770,69
771,521
772,98
773,118
774,93
775,401
776,136
777,82
778,94621
779,1480
780,158597
781,6809
782,7907
783,33814
784,38863
785,35303
786,50796
787,334
788,54192
789,142
790,368
791,408
792,143
793,381
794,343
795,339
796,123
797,383
798,8630
799,20744
800,29323
801,4919
802,43767
803,2096
804,6896
805,43263
