"movielen_id","imdb_poster_path"
"98981","http://ia.media-imdb.com/images/M/MV5BMjEyNDk5MDYzOV5BMl5BanBnXkFtZTgwNjIxMTEwMzE@._V1_SX300.jpg"
"32898","http://ia.media-imdb.com/images/M/MV5BMTQzMDYxNzUxNl5BMl5BanBnXkFtZTgwMjgxNjkxMTE@._V1_SX300.jpg"
"71472","http://ia.media-imdb.com/images/M/MV5BMTczODYxMzI5OV5BMl5BanBnXkFtZTgwNzE4NDU0MjE@._V1_SX300.jpg"
"114376","http://ia.media-imdb.com/images/M/MV5BMTkyNzk5MDYzOV5BMl5BanBnXkFtZTgwNzQ3Njk5MTE@._V1_SX300.jpg"
"89323","http://ia.media-imdb.com/images/M/MV5BMTQ1ODY2NTU4OF5BMl5BanBnXkFtZTgwNTc3NjU4MDE@._V1_SX300.jpg"
"100946","http://ia.media-imdb.com/images/M/MV5BMTA3MTk5MjI1ODBeQTJeQWpwZ15BbWU3MDc1MzAzMzQ@._V1_SX300.jpg"
"90339","http://ia.media-imdb.com/images/M/MV5BOTMzMzUzNjM4NV5BMl5BanBnXkFtZTgwODc4NjU4MDE@._V1_SX300.jpg"
"74097","http://ia.media-imdb.com/images/M/MV5BMjIzMjk2NjMzNF5BMl5BanBnXkFtZTgwMTg4NzYwMjE@._V1_SX300.jpg"
"111901","http://ia.media-imdb.com/images/M/MV5BMTcxODcyNjAwN15BMl5BanBnXkFtZTcwMTc1MzI1Mw@@._V1_SX300.jpg"
"127054","http://ia.media-imdb.com/images/M/MV5BMTQxNzI4ODQ3NF5BMl5BanBnXkFtZTgwNzY5NzMwMjE@._V1_SX300.jpg"
"103040","http://ia.media-imdb.com/images/M/MV5BMjAxMjE2ODMwNF5BMl5BanBnXkFtZTgwMTAwMTAyMjE@._V1_SX300.jpg"
"25922","http://ia.media-imdb.com/images/M/MV5BNzYxMDg3MDc2NF5BMl5BanBnXkFtZTcwMzIzMDQyMQ@@._V1_SX300.jpg"
"80725","http://ia.media-imdb.com/images/M/MV5BMjMwODQwODI3Nl5BMl5BanBnXkFtZTgwMDA1ODI3MzE@._V1_SX300.jpg"
"93336","http://ia.media-imdb.com/images/M/MV5BMTkwNjY3MjAzMV5BMl5BanBnXkFtZTgwNjA1ODI3MzE@._V1_SX300.jpg"
"121415","http://ia.media-imdb.com/images/M/MV5BMjU1MTgzODU5M15BMl5BanBnXkFtZTcwMjU1NDE2Mw@@._V1_SX300.jpg"
